(?d <http://schema.org/alumniOf> yago:Janáček_Academy_of_Music_and_Performing_Arts) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.5833333333333334, lift: 5.460000000000001, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 36
(?c <http://schema.org/foundingDate> "1996-07-02") ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.2916666666666667, lift: 2.7300000000000004, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?c <http://schema.org/foundingDate> "2002-09-01") ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.2916666666666667, lift: 2.7300000000000004, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d <http://schema.org/hasOccupation> yago:Actor) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.2916666666666667, lift: 2.7300000000000004, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/e9bb86c7234f43f622bbd1095f06f3a5>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.2777777777777778, lift: 2.7083333333333335, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/263e4f3ded91f6f391ea88d0a699227e>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.2777777777777778, lift: 2.7083333333333335, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/2c9506bbdb32f68fbe53cddc1a7ba42a>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 25, headCoverage: 0.015262515262515262, confidence: 0.2777777777777778, lift: 2.6, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/c013a48ad331d3419026f761a6b8f7f4>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.26666666666666666, lift: 2.6, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/d08e2be32c7c6a1c3b0d5a6e5bc57eeb>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.2777777777777778, lift: 2.6, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/d08e2be32c7c6a1c3b0d5a6e5bc57eeb>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.2777777777777778, lift: 2.6, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/6006de233bd1898d35116109baeb9f57>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.2638888888888889, lift: 2.572916666666667, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 72
(?d <http://schema.org/containedInPlace> ?b) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.2638888888888889, lift: 2.572916666666667, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/318ada9fd44d06298106abafd3767ba0>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 22, headCoverage: 0.013431013431013432, confidence: 0.24444444444444444, lift: 2.4869565217391303, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 90
(?d <http://schema.org/containedInPlace> ?b) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.2638888888888889, lift: 2.47, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 72
(?d schema:elevation <http://www.wikidata.org/value/15991321fd0d9a66c9baa9b82c8fb391>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.25555555555555554, lift: 2.392, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/1063c51b5b78f85a1a4d3b82b62281e1>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.23333333333333334, lift: 2.184, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/c39bd4e21e6efa33c71dc14d1cd5fdad>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.23333333333333334, lift: 2.184, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/748e5203ddb172ebc445374fe106c86a>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.2222222222222222, lift: 2.1666666666666665, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/dfc563d15ba2c2c8ec68bcdcccfe816a>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.2222222222222222, lift: 2.1666666666666665, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/2a2760f5169cae02ac8a2f8a2f662170>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 24, headCoverage: 0.014652014652014652, confidence: 0.2222222222222222, lift: 2.1666666666666665, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/04ebf8b7450044c273469db36c42a366>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<18294.0__26473.0)_ef10_8/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.2222222222222222, lift: 2.1666666666666665, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/04ebf8b7450044c273469db36c42a366>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.2111111111111111, lift: 2.1478260869565218, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/5c3e95a8401d61a4d2028825ade82409>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.2, lift: 2.0347826086956524, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/d7b967a1c7f0df0efda508dd9fd1aa3d>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<12994.5__14786.5)_ef10_6/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.2, lift: 2.0347826086956524, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 90
(?d schema:elevation <http://www.wikidata.org/value/748e5203ddb172ebc445374fe106c86a>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.21296296296296297, lift: 1.9933333333333334, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/57a87e7590c221042e42044c4ec3ec5c>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.21296296296296297, lift: 1.9933333333333334, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/15991321fd0d9a66c9baa9b82c8fb391>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<8.36__9.43)_ef10_9/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.2, lift: 1.9500000000000002, headConfidence: 0.10256410256410256, headSize: 1638, bodySize: 90
(?c <http://schema.org/containedInPlace> yago:Vysočina_Region) ^ (?c <http://schema.org/containedInPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.18518518518518517, lift: 1.8840579710144927, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?c <http://schema.org/nationality> yago:Czechoslovakia) ^ (?c <http://schema.org/birthPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 20, headCoverage: 0.01221001221001221, confidence: 0.18518518518518517, lift: 1.8840579710144927, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/93df11d299ae8e938f0f9150faf95993>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 25, headCoverage: 0.015262515262515262, confidence: 0.1984126984126984, lift: 1.8571428571428572, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/29e26ae8cdaf87b063cf3c287314e67b>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 25, headCoverage: 0.015262515262515262, confidence: 0.1984126984126984, lift: 1.8571428571428572, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/51726465664a013fb0c62bb1ec690535>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 25, headCoverage: 0.015262515262515262, confidence: 0.1984126984126984, lift: 1.8571428571428572, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/2a2760f5169cae02ac8a2f8a2f662170>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.19444444444444445, lift: 1.82, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/b2e89282aaa0db8c82f4e45fd75f3084>) ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<31649.0__46450.0)_ef10_10/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.19444444444444445, lift: 1.82, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 108
(?d <http://schema.org/alumniOf> yago:Charles_University) ^ (?d <http://schema.org/alumniOf> ?c) ^ (?b <http://schema.org/subOrganization> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<26473.0__31649.0)_ef10_9/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.19444444444444445, lift: 1.82, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/57a87e7590c221042e42044c4ec3ec5c>) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<14786.5__18294.0)_ef10_7/10>) | support: 19, headCoverage: 0.0115995115995116, confidence: 0.17592592592592593, lift: 1.7898550724637683, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/97fcfe201fffe95bc4b1a5604e13dd0c>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.18253968253968253, lift: 1.7085714285714286, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 126
(?d schema:elevation <http://www.wikidata.org/value/29e26ae8cdaf87b063cf3c287314e67b>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<9.43__11.5)_ef10_10/10>) | support: 23, headCoverage: 0.014041514041514042, confidence: 0.18253968253968253, lift: 1.7085714285714286, headConfidence: 0.10683760683760683, headSize: 1638, bodySize: 126
(?c <http://schema.org/deathPlace> yago:Prague) ^ (?c <http://schema.org/birthPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<2.85__4.28)_ef10_1/10>) | support: 21, headCoverage: 0.01282051282051282, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 126
(?c <http://schema.org/nationality> yago:Czechoslovakia) ^ (?c <http://schema.org/birthPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?c <http://schema.org/containedInPlace> yago:Vysočina_Region) ^ (?c <http://schema.org/containedInPlace> ?b) ^ (?b <http://schema.org/foundingDate> "2000-11-12") ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d schema:elevation <http://www.wikidata.org/value/27c05b02ef1b81d97a7af752ee34a08b>) ^ (?d <http://schema.org/location> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:podilNezamestnanych <<6.14__6.74)_ef10_5/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
(?d <http://schema.org/memberOf> yago:Czech_Inspiration_Q11281703) ^ (?c <http://schema.org/containsPlace> ?d) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-regions-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<8219.0__9024.0)_ef10_2/10>) | support: 18, headCoverage: 0.01098901098901099, confidence: 0.16666666666666666, lift: 1.6956521739130435, headConfidence: 0.09829059829059829, headSize: 1638, bodySize: 108
