(?b <http://schema.org/containedInPlace> yago:_Q3564604) ^ (?c <http://schema.org/containsPlace> yago:Vsetín_District) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 3.2222222222222223, lift: 31.485714285714288, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 18
(?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) ^ (?c <http://schema.org/containsPlace> ?b) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<1.13__3.55)_ef10_1/10>) | support: 75, headCoverage: 0.007832080200501253, confidence: 0.5514705882352942, lift: 5.547145328719724, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 136
(?a czso:podilNezamestnanych <<1.13__3.55)_ef10_1/10>) ^ (?c <http://schema.org/containedInPlace> ?b) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) | support: 75, headCoverage: 0.007832080200501253, confidence: 0.5514705882352942, lift: 5.547145328719724, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 136
(?d <http://schema.org/givenName> <http://yago-knowledge.org/resource/Stefan_(given_name)>) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 66, headCoverage: 0.006892230576441102, confidence: 0.5238095238095238, lift: 5.1183673469387765, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/memberOf> yago:_Q606144) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 56, headCoverage: 0.005847953216374269, confidence: 0.5185185185185185, lift: 5.066666666666666, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 108
(?d <http://schema.org/memberOf> yago:AZ_Havířov) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 89, headCoverage: 0.00929406850459482, confidence: 0.49444444444444446, lift: 4.831428571428572, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 180
(?d <http://schema.org/givenName> yago:Igor_Q28038713) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 80, headCoverage: 0.00835421888053467, confidence: 0.49382716049382713, lift: 4.825396825396825, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/memberOf> yago:HK_Dukla_Trenčín) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 68, headCoverage: 0.007101086048454469, confidence: 0.4722222222222222, lift: 4.614285714285715, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 144
(?d <http://schema.org/memberOf> yago:Fotbal_Fulnek) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 59, headCoverage: 0.006161236424394319, confidence: 0.46825396825396826, lift: 4.575510204081633, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/deathPlace> yago:Olomouc) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 0.4603174603174603, lift: 4.497959183673469, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/hasOccupation> yago:pole_vaulter_Q13464497) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 57, headCoverage: 0.005952380952380952, confidence: 0.4523809523809524, lift: 4.420408163265306, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 126
(?d <http://schema.org/memberOf> yago:Fotbal_Kunovice) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 65, headCoverage: 0.006787802840434419, confidence: 0.4513888888888889, lift: 4.410714285714286, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 144
(?d <http://schema.org/givenName> yago:Vítězslav_Q4928226) ^ (?d <http://schema.org/deathPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 64, headCoverage: 0.006683375104427736, confidence: 0.4444444444444444, lift: 4.3428571428571425, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 144
(?c schema:elevation <http://www.wikidata.org/value/4ee5f0d16e500091852d4581dc1fbd4d>) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) | support: 61, headCoverage: 0.0063700918964076855, confidence: 0.4236111111111111, lift: 4.261029411764706, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 144
(?a czso:podilNezamestnanych <<10.05__16.49)_ef10_10/10>) ^ (?c <http://schema.org/containsPlace> ?b) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 61, headCoverage: 0.0063700918964076855, confidence: 0.4326241134751773, lift: 4.227355623100304, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 141
(?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) ^ (?c <http://schema.org/containsPlace> ?b) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<10.05__16.49)_ef10_10/10>) | support: 61, headCoverage: 0.0063700918964076855, confidence: 0.4357142857142857, lift: 4.227355623100304, headConfidence: 0.10307017543859649, headSize: 9576, bodySize: 140
(?d <http://schema.org/givenName> yago:Karol) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 88, headCoverage: 0.009189640768588136, confidence: 0.4074074074074074, lift: 3.980952380952381, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 216
(?d <http://schema.org/hasOccupation> yago:germanist_Q2599593) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 80, headCoverage: 0.00835421888053467, confidence: 0.40404040404040403, lift: 3.948051948051948, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?d <http://schema.org/birthPlace> yago:Vsetín) ^ (?d <http://schema.org/deathPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 64, headCoverage: 0.006683375104427736, confidence: 0.3950617283950617, lift: 3.8603174603174604, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/familyName> yago:Vašíček) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 64, headCoverage: 0.006683375104427736, confidence: 0.3950617283950617, lift: 3.8603174603174604, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/birthDate> "1972") ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 56, headCoverage: 0.005847953216374269, confidence: 0.3888888888888889, lift: 3.8000000000000003, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 144
(?d <http://schema.org/hasOccupation> yago:Curator) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 62, headCoverage: 0.006474519632414369, confidence: 0.38271604938271603, lift: 3.7396825396825397, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/memberOf> yago:Prussian_Academy_of_Sciences) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 62, headCoverage: 0.006474519632414369, confidence: 0.38271604938271603, lift: 3.7396825396825397, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/givenName> yago:Lumír_Q12034409) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 61, headCoverage: 0.0063700918964076855, confidence: 0.3765432098765432, lift: 3.6793650793650796, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 162
(?d <http://schema.org/homeLocation> yago:Brno) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 54, headCoverage: 0.005639097744360902, confidence: 0.375, lift: 3.6642857142857146, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 144
(?d <http://schema.org/memberOf> yago:FC_Hlučín) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 86, headCoverage: 0.00898078529657477, confidence: 0.36752136752136755, lift: 3.5912087912087918, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 234
(?d <http://schema.org/deathPlace> yago:Moravská_Ostrava_Q3524703) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 72, headCoverage: 0.007518796992481203, confidence: 0.36363636363636365, lift: 3.5532467532467535, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?c schema:elevation <http://www.wikidata.org/value/8208d360ec87758a8edc044699229137>) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) | support: 63, headCoverage: 0.006578947368421052, confidence: 0.35, lift: 3.5205882352941176, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 180
(?d <http://schema.org/givenName> yago:Radka) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 70, headCoverage: 0.007309941520467836, confidence: 0.35353535353535354, lift: 3.4545454545454546, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?d <http://schema.org/hasOccupation> yago:academic_Q3400985) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 107, headCoverage: 0.01117376775271512, confidence: 0.34967320261437906, lift: 3.4168067226890755, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 306
(?d <http://schema.org/hasOccupation> yago:athletics_competitor_Q11513337) ^ (?d <http://schema.org/deathPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 69, headCoverage: 0.0072055137844611525, confidence: 0.3484848484848485, lift: 3.4051948051948058, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?d <http://schema.org/birthPlace> yago:Kroměříž) ^ (?d <http://schema.org/deathPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 67, headCoverage: 0.006996658312447786, confidence: 0.3383838383838384, lift: 3.306493506493507, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?c schema:elevation <http://www.wikidata.org/value/6546051c7f5556a7fddc2623aec74f81>) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<468.0__1136.5)_ef10_1/10>) | support: 59, headCoverage: 0.006161236424394319, confidence: 0.3277777777777778, lift: 3.297058823529412, headConfidence: 0.09941520467836257, headSize: 9576, bodySize: 180
(?d <http://schema.org/deathPlace> yago:Karlsruhe) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<10.05__16.49)_ef10_10/10>) | support: 54, headCoverage: 0.005639097744360902, confidence: 0.3333333333333333, lift: 3.234042553191489, headConfidence: 0.10307017543859649, headSize: 9576, bodySize: 162
(?d <http://schema.org/memberOf> yago:Minnesota_Wild) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 58, headCoverage: 0.006056808688387635, confidence: 0.32222222222222224, lift: 3.148571428571429, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 180
(?d <http://schema.org/sameAs> "https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%84%E5%B1%B1%E5%9C%B0") ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<8.76__10.05)_ef10_9/10>) | support: 56, headCoverage: 0.005847953216374269, confidence: 0.3111111111111111, lift: 3.04, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 180
(?d <http://schema.org/givenName> <http://yago-knowledge.org/resource/Günther_(given_name)>) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<10.05__16.49)_ef10_10/10>) | support: 62, headCoverage: 0.006474519632414369, confidence: 0.31313131313131315, lift: 3.038039974210187, headConfidence: 0.10307017543859649, headSize: 9576, bodySize: 198
(?d <http://schema.org/familyName> yago:Stanek) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 67, headCoverage: 0.006996658312447786, confidence: 0.3101851851851852, lift: 3.030952380952381, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 216
(?d <http://schema.org/givenName> yago:Adéla_Q20019221) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 61, headCoverage: 0.0063700918964076855, confidence: 0.30808080808080807, lift: 3.0103896103896104, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 198
(?d <http://schema.org/award> yago:Austrian_Decoration_for_Science_and_Art) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 77, headCoverage: 0.00804093567251462, confidence: 0.3055555555555556, lift: 2.985714285714286, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 252
(?d <http://schema.org/familyName> yago:Šrámek) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4855.0__13697.0)_ef10_10/10>) | support: 55, headCoverage: 0.005743525480367585, confidence: 0.3055555555555556, lift: 2.985714285714286, headConfidence: 0.1023391812865497, headSize: 9576, bodySize: 180
(?d <http://schema.org/memberOf> <http://yago-knowledge.org/resource/Christian_Democratic_Union_(East_Germany)>) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4019.0__4855.0)_ef10_9/10>) | support: 54, headCoverage: 0.005639097744360902, confidence: 0.3, lift: 2.973913043478261, headConfidence: 0.10087719298245613, headSize: 9576, bodySize: 180
(?d <http://schema.org/sameAs> "https://ja.wikipedia.org/wiki/%E3%82%A8%E3%83%AB%E3%83%84%E5%B1%B1%E5%9C%B0") ^ (?d <http://schema.org/containedInPlace> ?c) ^ (?b <http://schema.org/containedInPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:podilNezamestnanych <<10.05__16.49)_ef10_10/10>) | support: 55, headCoverage: 0.005743525480367585, confidence: 0.3055555555555556, lift: 2.9645390070921986, headConfidence: 0.10307017543859649, headSize: 9576, bodySize: 180
(?d <http://schema.org/givenName> <http://yago-knowledge.org/resource/Günther_(given_name)>) ^ (?d <http://schema.org/birthPlace> ?c) ^ (?b <http://schema.org/containsPlace> ?c) ^ (?a czso:refArea ?b) ^ (?a qb:dataSet <jaur-districts-bysex>) -> (?a czso:dosazitelniNeumisteniUchazeciOZamestnani <<4019.0__4855.0)_ef10_9/10>) | support: 59, headCoverage: 0.006161236424394319, confidence: 0.29797979797979796, lift: 2.953886693017128, headConfidence: 0.10087719298245613, headSize: 9576, bodySize: 198
